"id","station_id","socket_number","charging_method","connector_type","power"
"18967","7425","SKT/8477","AC","AC_TYPE2","22"
"18968","7425","SKT/8478","AC","AC_TYPE2","22"
"18969","7426","SKT/8458","AC","AC_TYPE2","22"
"18970","7426","SKT/8459","AC","AC_TYPE2","22"
"18971","7427","SKT/28819","DC","DC_CCS","60"
"18972","7427","SKT/28835","DC","DC_CCS","60"
"18973","7428","SKT/15387","DC","DC_CCS","60"
"18974","7428","SKT/15388","DC","DC_CCS","60"
"18975","7428","SKT/28808","AC","AC_TYPE2","22"
"18976","7429","SKT/2272","AC","AC_TYPE2","22"
"18977","7429","SKT/2273","AC","AC_TYPE2","22"
"18978","7430","SKT/35178","DC","DC_CCS","120"
"18979","7430","SKT/35179","DC","DC_CCS","120"
"18980","7430","SKT/35180","DC","DC_CCS","240"
"18981","7430","SKT/35181","DC","DC_CCS","240"
"18982","7431","SKT/3965","DC","DC_CCS","180"
"18983","7432","SKT/26097","DC","DC_CCS","60"
"18984","7432","SKT/27258","DC","DC_CCS","60"
"18985","7433","SKT/484","AC","AC_TYPE2","22"
"18986","7433","SKT/15385","DC","DC_CCS","60"
"18987","7433","SKT/15386","DC","DC_CCS","60"
"18988","7433","SKT/28797","DC","DC_CCS","180"
"18989","7433","SKT/28798","DC","DC_CCS","180"
"18990","7433","SKT/28799","DC","DC_CCS","180"
"18991","7433","SKT/28800","DC","DC_CCS","180"
"18992","7433","SKT/28801","DC","DC_CCS","180"
"18993","7433","SKT/28802","DC","DC_CCS","180"
"18994","7433","SKT/28803","DC","DC_CCS","180"
"18995","7433","SKT/35926","DC","DC_CCS","180"
"18996","7434","SKT/35947","DC","DC_CCS","60"
"18997","7434","SKT/35948","DC","DC_CCS","60"
"18998","7434","SKT/35949","DC","DC_CCS","60"
"18999","7434","SKT/35950","DC","DC_CCS","60"
"19000","7435","SKT/36052","DC","DC_CCS","60"
"19001","7435","SKT/36053","DC","DC_CCS","60"
"19002","7435","SKT/36054","DC","DC_CCS","60"
"19003","7435","SKT/36055","DC","DC_CCS","60"
"19004","7436","SKT/36734","DC","DC_CCS","180"
"19005","7436","SKT/36735","DC","DC_CCS","180"
"19006","7437","SKT/2280","AC","AC_TYPE2","22"
"19007","7437","SKT/31633","DC","DC_CCS","60"
"19008","7437","SKT/31634","DC","DC_CCS","60"
"19009","7437","SKT/36741","DC","DC_CCS","60"
"19010","7437","SKT/36742","DC","DC_CCS","60"
"19011","7438","SKT/36887","DC","DC_CCS","180"
"19012","7438","SKT/36888","DC","DC_CCS","180"
"19013","7439","SKT/31709","AC","AC_TYPE2","22"
"19014","7439","SKT/31710","AC","AC_TYPE2","22"
"19015","7439","SKT/31711","AC","AC_TYPE2","22"
"19016","7439","SKT/31712","AC","AC_TYPE2","22"
"19017","7439","SKT/31713","AC","AC_TYPE2","22"
"19018","7440","SKT/36970","DC","DC_CCS","180"
"19019","7440","SKT/36971","DC","DC_CCS","180"
"19020","7440","SKT/36972","DC","DC_CCS","180"
"19021","7440","SKT/36973","DC","DC_CCS","180"
"19022","7441","SKT/37003","DC","DC_CCS","180"
"19023","7441","SKT/37004","DC","DC_CCS","180"
"19024","7442","SKT/37318","DC","DC_CCS","60"
"19025","7442","SKT/37319","DC","DC_CCS","60"
"19026","7443","SKT/2137","AC","AC_TYPE2","22"
"19027","7443","SKT/2138","AC","AC_TYPE2","22"
"19028","7444","SKT/31656","DC","DC_CCS","400"
"19029","7444","SKT/31657","DC","DC_CCS","400"
"19030","7444","SKT/31658","DC","DC_CCS","400"
"19031","7444","SKT/31659","DC","DC_CCS","400"
"19032","7444","SKT/31660","DC","DC_CCS","400"
"19033","7444","SKT/31661","DC","DC_CCS","400"
"19034","7444","SKT/31662","DC","DC_CCS","400"
"19035","7444","SKT/31663","DC","DC_CCS","400"
"19036","7445","SKT/31681","DC","DC_CCS","400"
"19037","7445","SKT/31682","DC","DC_CCS","400"
"19038","7445","SKT/31683","DC","DC_CCS","400"
"19039","7445","SKT/31684","DC","DC_CCS","400"
"19040","7445","SKT/31685","DC","DC_CCS","400"
"19041","7445","SKT/31686","DC","DC_CCS","400"
"19042","7445","SKT/31687","DC","DC_CCS","400"
"19043","7445","SKT/31688","DC","DC_CCS","400"
"19044","7446","SKT/5590","AC","AC_TYPE2","22"
"19045","7446","SKT/37626","DC","DC_CCS","120"
"19046","7446","SKT/37627","DC","DC_CCS","120"
"19047","7447","SKT/37672","AC","AC_TYPE2","22"
"19048","7448","SKT/30761","AC","AC_TYPE2","22"
"19049","7448","SKT/30762","AC","AC_TYPE2","22"
"19050","7448","SKT/30763","AC","AC_TYPE2","22"
"19051","7448","SKT/30764","DC","DC_CCS","90"
"19052","7448","SKT/30765","DC","DC_CCS","90"
"19053","7449","SKT/38026","AC","AC_TYPE2","22"
"19054","7450","SKT/38027","DC","DC_CCS","360"
"19055","7450","SKT/38028","DC","DC_CCS","360"
"19056","7450","SKT/38029","DC","DC_CCS","120"
"19057","7450","SKT/38030","DC","DC_CCS","120"
"19058","7451","SKT/38155","DC","DC_CCS","90"
"19059","7451","SKT/38156","DC","DC_CCS","90"
"19060","7452","SKT/38173","DC","DC_CCS","120"
"19061","7452","SKT/38174","DC","DC_CCS","120"
"19062","7453","SKT/38362","DC","DC_CCS","400"
"19063","7453","SKT/38363","DC","DC_CCS","400"
"19064","7453","SKT/38364","DC","DC_CCS","400"
"19065","7453","SKT/38365","DC","DC_CCS","400"
"19066","7453","SKT/38366","DC","DC_CCS","400"
"19067","7453","SKT/38367","DC","DC_CCS","400"
"19068","7454","SKT/2312","AC","AC_TYPE2","22"
"19069","7455","SKT/2313","AC","AC_TYPE2","22"
"19070","7456","SKT/2314","AC","AC_TYPE2","22"
"19071","7457","SKT/2315","AC","AC_TYPE2","22"
"19072","7458","SKT/2316","AC","AC_TYPE2","22"
"19073","7458","SKT/2317","AC","AC_TYPE2","22"
"19074","7459","SKT/2318","AC","AC_TYPE2","22"
"19075","7460","SKT/2323","AC","AC_TYPE2","22"
"19076","7460","SKT/2324","AC","AC_TYPE2","22"
"19077","7461","SKT/2325","AC","AC_TYPE2","22"
"19078","7462","SKT/2326","AC","AC_TYPE2","22"
"19079","7462","SKT/2327","AC","AC_TYPE2","22"
"19080","7463","SKT/2332","AC","AC_TYPE2","22"
"19081","7463","SKT/2333","AC","AC_TYPE2","22"
"19082","7464","SKT/2334","AC","AC_TYPE2","22"
"19083","7464","SKT/2335","AC","AC_TYPE2","22"
"19084","7465","SKT/2336","AC","AC_TYPE2","22"
"19085","7466","SKT/2337","AC","AC_TYPE2","22"
"19086","7467","SKT/2340","AC","AC_TYPE2","22"
"19087","7468","SKT/2345","AC","AC_TYPE2","22"
"19088","7468","SKT/2346","AC","AC_TYPE2","22"
"19089","7469","SKT/2347","AC","AC_TYPE2","22"
"19090","7470","SKT/2352","AC","AC_TYPE2","22"
"19091","7470","SKT/2353","AC","AC_TYPE2","22"
"19092","7471","SKT/2366","AC","AC_TYPE2","22"
"19093","7471","SKT/2367","AC","AC_TYPE2","22"
"19094","7472","SKT/2481","AC","AC_TYPE2","22"
"19095","7473","SKT/2485","AC","AC_TYPE2","22"
"19096","7473","SKT/2486","AC","AC_TYPE2","22"
"19097","7474","SKT/2487","AC","AC_TYPE2","22"
"19098","7475","SKT/2489","AC","AC_TYPE2","22"
"19099","7475","SKT/2490","AC","AC_TYPE2","22"
"19100","7476","SKT/2491","AC","AC_TYPE2","22"
"19101","7476","SKT/2492","AC","AC_TYPE2","22"
"19102","7477","SKT/19354","DC","DC_CCS","180"
"19103","7477","SKT/19355","DC","DC_CCS","180"
"19104","7478","SKT/19492","DC","DC_CCS","300"
"19105","7478","SKT/19493","DC","DC_CCS","300"
"19106","7478","SKT/19494","DC","DC_CCS","300"
