"id","name","short_name"
"109","ORBİT ENERJİ HAB. TEK. SAN. VE TİC. A.Ş.","ORBİT ENERJİ HABERLEŞME TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ"
"110","Otojet","OTOJET ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ"
"111","Otopriz","DİCLE KÖK ENERJİ YATIRIM ANONİM ŞİRKETİ"
"112","otoWATT","AYDEM PLUS ENERJİ ÇÖZÜMLERİ TİCARET ANONİM ŞİRKETİ"
"113","ovolt","OVOLT ŞARJ TEKNOLOJİLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ"
"114","PETRODEM","BLUE AKARYAKIT ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ"
"115","Petroo","ANTTECH BİLİŞİM VE AKARYAKIT ANONİM ŞİRKETİ"
"116","PİLSTOP","RDS GAYRİMENKUL DANIŞMANLIK ANONİM ŞİRKETİ"
"117","PİRİM GIDA VE MEŞRUBAT SAN. ve TİC. LTD. ŞTİ.","PİRİM GIDA VE MEŞRUBAT SANAYİ VE TİCARET ANONİM ŞİRKETİ"
"118","PLECO advertise.charge.","ÖZKA ENERJİ YATIRIMLARI ANONİM ŞİRKETİ"
"119","Plug&drive","PGD ENERJİ YATIRIMLARI SANAYİ VE TİCARET ANONİM ŞİRKETİ"
"120","pluginn","PLUGİNN ELEKTRİKLİ TAŞITLAR ŞARJ SİSTEMLERİ VE YAZILIM HİZMETLERİ SANAYİ TİCARET ANONİM ŞİRKETİ"
"121","Polestar","NTECHNIC ELEKTRONİK SANAYİ TİCARET ANONİM ŞİRKETİ"
"122","porty","PORTY SMART TECH TEKNOLOJİ ANONİM ŞİRKETİ"
"123","POWER ELEKTRONİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ","POWER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ"
"124","POWERŞARJ","WHITE ROSE MOTOR SANAYİ VE OTOMASYON TİCARET LİMİTED ŞİRKETİ"
"125","PROMASTER","PROMASTER DANIŞMANLIK LİMİTED ŞİRKETİ"
"126","Q Charge","META MOBİLİTE ENERJİ ANONİM ŞİRKETİ"
"127","QC QUIKŞARJ","CHARGE MAHAL ENERJİ ANONİM ŞİRKETİ"
"128","RÖNESANS CHARGER","RÖNESANS ŞARJ İSTASYON ENERJİ YATIRIMLARI ANONİM ŞİRKETİ"
