"id","station_number","city_id","district_id","station_name","address","is_private","brand_id","latitude","longitude"
"5697","ŞRJ/744",,,"Karadeniz Bosch Araç Servisi İstanbul","Esenyalı Mahallesi Gölet Sokağı  No:3 /A Pendik / İSTANBUL","0","171","41.0800711","28.8826923"
"5698","ŞRJ/751",,,"Maltepe Onca Bosch Araç Servisi","Gülsuyu Mahallesi Başacar Sokağı  No:15 /A Maltepe / İSTANBUL","0","171","40.9498022","29.1739513"
"5699","ŞRJ/754",,,"MG Dogan Trend Kosuyolu DC","Acıbadem Mahallesi Alidede Sokağı  No:4 Kadıköy / İSTANBUL","0","171","41.0090866","29.0387191"
"5700","ŞRJ/755",,,"Mövenpick Kurtköy","Yenişehir Mahallesi Millet Caddesi  No:31 Pendik / İSTANBUL","0","171","40.9128704","29.2988966"
"5701","ŞRJ/756",,,"Neomarin AVM İstanbul","Kaynarca Mahallesi  No:33 Pendik / İSTANBUL","0","171","40.8643715","29.2744071"
"5702","ŞRJ/757",,,"Oğuşlar Otomotiv Bosch Ümraniye","Armağan Evelr Mahallesi Akdeniz Caddesi Dere Sokağı  No:153 Ümraniye / İSTANBUL","0","171","41.0119755","29.1070254"
"5703","ŞRJ/758",,,"Park Dedeman Hotel İstanbul","İçeren Köy Mahallesi Değirmenyolu Caddesi  No:39 /C Ataşehir / İSTANBUL","0","171","40.9625637","29.1102762"
"5704","ŞRJ/6805",,,"BAYTUR STARGATE KONUTLARI","Barboros Mahallesi Kardelen Sokağı  No:3C Ataşehir / İSTANBUL","0","90","40.986441","29.1014049"
"5705","ŞRJ/12778",,,"MERİT ŞARJ 156","Tatlısu Mahallesi, Meritlife Sitesi Mahallesi Şehit Burak Kurtuluş Caddesi  No:69 Ümraniye / İSTANBUL","0","101","41.0082376","28.9783589"
"5706","ŞRJ/12811",,,"ŞERİFALİ SİTESİ","Şerifali Mahallesi Nurlu Sokağı  No:23/2 Ümraniye / İSTANBUL","0","165","41.0019026","29.146014"
"5707","ŞRJ/12812",,,"SEYRİ ADALAR SİTESİ","Cevizli Mahallesi Duru Sokağı  No:7 Maltepe / İSTANBUL","0","10","40.9199772","29.142936"
"5708","ŞRJ/12835",,,"AURA RESIDENCE B BLOK AC-1","Soğanlık Yeni Mahallesi Pegagaz Sokağı  No:4  B Blok Kartal / İSTANBUL","0","22","41.0082376","28.9783589"
"5709","ŞRJ/12827",,,"Nidakule Göztepe","Merdivenköy Mahallesi Bora Sokağı  No:1/3 Kadıköy / İSTANBUL","0","135","40.990728","29.0751228"
"5710","ŞRJ/1358",,,"AUTODROM TUZLA","Orhanlı Mahallesi Demokrasi Caddesi  No:19 Tuzla / İSTANBUL","0","139","40.8895071","29.3508724"
"5711","ŞRJ/5061",,,"TUNÇMATİK GENEL MÜDÜRLÜK","Eyüp Sultan Mahallesi Dercan Sokağı  No:3 Sancaktepe / İSTANBUL","0","154","41.0094337","28.9482382"
"5712","ŞRJ/12897",,,"ADDRESS İSTANBUL","Ünalan Mahallesi Libadiye Sokağı  No:80 Üsküdar / İSTANBUL","0","165","41.0043172","29.0710656"
"5713","ŞRJ/12917",,,"Zeplin Ağaoğlu Çekmeköy Park B2","Mehmet Akif Mahallesi Necip Fazıl Kısakürek Sokağı  No:31/D Çekmeköy / İSTANBUL","0","170","41.0190163","29.1830443"
"5714","ŞRJ/12918",,,"Zeplin Newada Residence B","Altayçeşme Mahallesi Saldıray Sokağı  No:8 Maltepe / İSTANBUL","0","170","40.936403","29.125872"
"5715","ŞRJ/12919",,,"Zeplin Newada Residence A","Altayçeşme Mahallesi Saldıray Sokağı  No:8 Maltepe / İSTANBUL","0","170","40.936403","29.125872"
"5716","ŞRJ/12926",,,"Çetinkaya Dudullu, Ümraniye","Necip Fazıl Mahallesi Alemdağ Caddesi  No:573 Ümraniye / İSTANBUL","0","56","41.0178874","29.1743417"
